SourceV	Current	Voltage
1.31631E7	7.597E-7	10
1.18301E7	8.453E-7	10
1.058E7	9.4518E-7	10
9.60061E6	1.0416E-6	10
8.8269E6	1.1329E-6	10
8.19874E6	1.2197E-6	10
7.65873E6	1.3057E-6	10
7.21553E6	1.3859E-6	10
6.82827E6	1.4645E-6	10
6.47249E6	1.545E-6	10
6.16675E6	1.6216E-6	10
5.88824E6	1.6983E-6	10
5.65579E6	1.7681E-6	10
5.43124E6	1.8412E-6	10
5.22575E6	1.9136E-6	10
5.05561E6	1.978E-6	10
4.92587E6	2.0301E-6	10
4.80238E6	2.0823E-6	10
4.69043E6	2.132E-6	10
4.59855E6	2.1746E-6	10
4.5104E6	2.2171E-6	10
4.42576E6	2.2595E-6	10
4.35426E6	2.2966E-6	10
4.29221E6	2.3298E-6	10
4.23531E6	2.3611E-6	10
4.182E6	2.3912E-6	10
4.15369E6	2.4075E-6	10
4.13104E6	2.4207E-6	10
4.10509E6	2.436E-6	10
4.06736E6	2.4586E-6	10
4.04171E6	2.4742E-6	10
4.00834E6	2.4948E-6	10
3.98438E6	2.5098E-6	10
3.96558E6	2.5217E-6	10
3.9507E6	2.5312E-6	10
3.92742E6	2.5462E-6	10
3.90823E6	2.5587E-6	10
3.89985E6	2.5642E-6	10
3.8841E6	2.5746E-6	10
3.86518E6	2.5872E-6	10
3.8466E6	2.5997E-6	10
3.81986E6	2.6179E-6	10
3.78845E6	2.6396E-6	10
3.75827E6	2.6608E-6	10
3.72745E6	2.6828E-6	10
3.70576E6	2.6985E-6	10
3.67958E6	2.7177E-6	10
3.65404E6	2.7367E-6	10
3.63042E6	2.7545E-6	10
3.60959E6	2.7704E-6	10
3.59764E6	2.7796E-6	10
3.57987E6	2.7934E-6	10
3.56366E6	2.8061E-6	10
3.53732E6	2.827E-6	10
3.51407E6	2.8457E-6	10
3.49748E6	2.8592E-6	10
3.46945E6	2.8823E-6	10
3.44056E6	2.9065E-6	10
3.40901E6	2.9334E-6	10
3.37564E6	2.9624E-6	10
3.34158E6	2.9926E-6	10
3.3083E6	3.0227E-6	10
3.28299E6	3.046E-6	10
3.25669E6	3.0706E-6	10
3.23373E6	3.0924E-6	10
3.21461E6	3.1108E-6	10
3.1836E6	3.1411E-6	10
3.17168E6	3.1529E-6	10
3.17854E6	3.1461E-6	10
3.16787E6	3.1567E-6	10
3.13913E6	3.1856E-6	10
3.111E6	3.2144E-6	10
3.07948E6	3.2473E-6	10
3.05018E6	3.2785E-6	10
3.02234E6	3.3087E-6	10
3.00129E6	3.3319E-6	10
2.99868E6	3.3348E-6	10
2.96112E6	3.3771E-6	10
2.93367E6	3.4087E-6	10
2.91231E6	3.4337E-6	10
2.889E6	3.4614E-6	10
2.8641E6	3.4915E-6	10
2.84051E6	3.5205E-6	10
2.81928E6	3.547E-6	10
2.80796E6	3.5613E-6	10
2.7965E6	3.5759E-6	10
2.7767E6	3.6014E-6	10
2.74854E6	3.6383E-6	10
2.71902E6	3.6778E-6	10
2.69724E6	3.7075E-6	10
2.67487E6	3.7385E-6	10
2.65083E6	3.7724E-6	10
2.62729E6	3.8062E-6	10
2.61124E6	3.8296E-6	10
2.59498E6	3.8536E-6	10
2.58859E6	3.8631E-6	10
2.5672E6	3.8953E-6	10
2.55271E6	3.9174E-6	10
2.5364E6	3.9426E-6	10
2.51623E6	3.9742E-6	10
2.498E6	4.0032E-6	10
2.48688E6	4.0211E-6	10
2.46889E6	4.0504E-6	10
2.45381E6	4.0753E-6	10
2.43339E6	4.1095E-6	10
2.40796E6	4.1529E-6	10
2.38852E6	4.1867E-6	10
2.37203E6	4.2158E-6	10
2.35705E6	4.2426E-6	10
2.34538E6	4.2637E-6	10
2.3376E6	4.2779E-6	10
2.32164E6	4.3073E-6	10
2.30303E6	4.3421E-6	10
2.30044E6	4.347E-6	10
2.28352E6	4.3792E-6	10
2.27113E6	4.4031E-6	10
2.25688E6	4.4309E-6	10
2.24568E6	4.453E-6	10
2.2303E6	4.4837E-6	10
2.21646E6	4.5117E-6	10
2.20541E6	4.5343E-6	10
2.1925E6	4.561E-6	10
2.18283E6	4.5812E-6	10
2.17424E6	4.5993E-6	10
