Time	SourceV	Current	Voltage
1.032719	4983325.027792	2.608700e-06	1.300000e+01
2.089611	4095391.109851	3.174300e-06	1.300000e+01
3.120086	3501872.154729	3.712300e-06	1.300000e+01
4.151266	2980625.931446	4.361500e-06	1.300000e+01
5.179425	2544828.126223	5.108400e-06	1.300000e+01
6.210208	2203912.792866	5.898600e-06	1.300000e+01
7.235008	1935445.450214	6.716800e-06	1.300000e+01
8.259119	1742463.843875	7.460700e-06	1.300000e+01
9.283108	1594505.090151	8.153000e-06	1.300000e+01
10.306989	1484882.751374	8.754900e-06	1.300000e+01
11.331063	1400680.946429	9.281200e-06	1.300000e+01
12.355383	1337847.711766	9.717100e-06	1.300000e+01
13.379119	1291219.705999	1.006800e-05	1.300000e+01
14.427512	1258714.175058	1.032800e-05	1.300000e+01
15.451194	1234919.730218	1.052700e-05	1.300000e+01
16.475849	1220198.986296	1.065400e-05	1.300000e+01
17.499293	1210541.018717	1.073900e-05	1.300000e+01
18.525425	1202590.194265	1.081000e-05	1.300000e+01
19.549303	1194633.339460	1.088200e-05	1.300000e+01
20.573302	1193865.368721	1.088900e-05	1.300000e+01
21.597263	1187865.497076	1.094400e-05	1.300000e+01
22.621785	1189387.008234	1.093000e-05	1.300000e+01
23.646163	1190912.422133	1.091600e-05	1.300000e+01
24.670093	1194743.130227	1.088100e-05	1.300000e+01
25.694025	1194852.941176	1.088000e-05	1.300000e+01
26.718455	1195292.386907	1.087600e-05	1.300000e+01
27.743020	1193755.739210	1.089000e-05	1.300000e+01
28.767080	1193317.422434	1.089400e-05	1.300000e+01
29.790476	1193755.739210	1.089000e-05	1.300000e+01
30.815775	1199151.369800	1.084100e-05	1.300000e+01
31.840188	1199593.983575	1.083700e-05	1.300000e+01
32.864151	1201923.076923	1.081600e-05	1.300000e+01
33.888467	1202924.030721	1.080700e-05	1.300000e+01
34.912696	1205936.920223	1.078000e-05	1.300000e+01
35.936332	1208066.164855	1.076100e-05	1.300000e+01
36.960288	1210090.291353	1.074300e-05	1.300000e+01
37.984373	1212799.701465	1.071900e-05	1.300000e+01
