Time	SourceV	Current	Voltage
1.035451	13516253.294587	1.479700e-07	2.000000e+00
2.095971	12011290.613176	1.665100e-07	2.000000e+00
3.124676	11244799.280333	1.778600e-07	2.000000e+00
4.150746	10715816.545221	1.866400e-07	2.000000e+00
5.179834	10292301.358584	1.943200e-07	2.000000e+00
6.212139	9958175.662219	2.008400e-07	2.000000e+00
7.237781	9672583.063307	2.067700e-07	2.000000e+00
8.262048	9435742.592942	2.119600e-07	2.000000e+00
9.285970	9234463.015976	2.165800e-07	2.000000e+00
10.309858	9079765.742044	2.202700e-07	2.000000e+00
11.333653	8944543.828265	2.236000e-07	2.000000e+00
12.359059	8837435.376254	2.263100e-07	2.000000e+00
13.383079	8718395.815170	2.294000e-07	2.000000e+00
14.407228	8571551.022157	2.333300e-07	2.000000e+00
15.431439	8394895.903291	2.382400e-07	2.000000e+00
16.456337	8217264.472657	2.433900e-07	2.000000e+00
17.480066	8043111.075364	2.486600e-07	2.000000e+00
18.504366	7882705.344474	2.537200e-07	2.000000e+00
19.528942	7713966.135689	2.592700e-07	2.000000e+00
20.553269	7566872.233362	2.643100e-07	2.000000e+00
21.577970	7400007.400007	2.702700e-07	2.000000e+00
22.602294	7251368.695841	2.758100e-07	2.000000e+00
23.625797	7108330.963890	2.813600e-07	2.000000e+00
24.650077	6976176.357738	2.866900e-07	2.000000e+00
25.673951	6832234.482287	2.927300e-07	2.000000e+00
26.698044	6715014.773033	2.978400e-07	2.000000e+00
27.722538	6581761.937671	3.038700e-07	2.000000e+00
28.746252	6462453.147215	3.094800e-07	2.000000e+00
29.770364	6346989.940021	3.151100e-07	2.000000e+00
30.794376	6245316.012990	3.202400e-07	2.000000e+00
31.818305	6145337.225380	3.254500e-07	2.000000e+00
32.842225	6048326.125745	3.306700e-07	2.000000e+00
33.866417	5949547.834365	3.361600e-07	2.000000e+00
34.890394	5860977.611066	3.412400e-07	2.000000e+00
35.914928	5770506.939035	3.465900e-07	2.000000e+00
36.939240	5686988.171065	3.516800e-07	2.000000e+00
37.962482	5604281.671197	3.568700e-07	2.000000e+00
38.986148	5523183.563006	3.621100e-07	2.000000e+00
40.010239	5451076.587626	3.669000e-07	2.000000e+00
41.034173	5376199.564528	3.720100e-07	2.000000e+00
42.057300	5308278.259946	3.767700e-07	2.000000e+00
43.079350	5236424.569304	3.819400e-07	2.000000e+00
44.104663	5166356.685266	3.871200e-07	2.000000e+00
45.130989	5095281.769082	3.925200e-07	2.000000e+00
46.154027	5027652.086476	3.978000e-07	2.000000e+00
47.177407	4956260.996704	4.035300e-07	2.000000e+00
48.202118	4903883.876030	4.078400e-07	2.000000e+00
49.226314	4843553.230650	4.129200e-07	2.000000e+00
50.251037	4790878.167968	4.174600e-07	2.000000e+00
51.274441	4733279.689497	4.225400e-07	2.000000e+00
52.298667	4681538.353503	4.272100e-07	2.000000e+00
53.323399	4627594.345080	4.321900e-07	2.000000e+00
54.348221	4575402.635432	4.371200e-07	2.000000e+00
55.372468	4522840.343736	4.422000e-07	2.000000e+00
56.396943	4470772.325919	4.473500e-07	2.000000e+00
57.421185	4423995.752964	4.520800e-07	2.000000e+00
58.445153	4381352.961795	4.564800e-07	2.000000e+00
59.468919	4338018.393198	4.610400e-07	2.000000e+00
60.493584	4301260.269259	4.649800e-07	2.000000e+00
61.517297	4264119.565913	4.690300e-07	2.000000e+00
62.541092	4229134.507623	4.729100e-07	2.000000e+00
63.564563	4191905.430613	4.771100e-07	2.000000e+00
64.588723	4159647.261912	4.808100e-07	2.000000e+00
65.613396	4126008.293277	4.847300e-07	2.000000e+00
66.637400	4094333.442516	4.884800e-07	2.000000e+00
67.662354	4059265.272986	4.927000e-07	2.000000e+00
68.687778	4019050.298414	4.976300e-07	2.000000e+00
69.711506	3984381.225596	5.019600e-07	2.000000e+00
70.737305	3951553.948590	5.061300e-07	2.000000e+00
71.762249	3920261.873493	5.101700e-07	2.000000e+00
72.787282	3884928.420194	5.148100e-07	2.000000e+00
73.812678	3853564.547206	5.190000e-07	2.000000e+00
74.837360	3823653.118189	5.230600e-07	2.000000e+00
75.862225	3785871.128947	5.282800e-07	2.000000e+00
76.887159	3759327.832184	5.320100e-07	2.000000e+00
77.912172	3740555.098377	5.346800e-07	2.000000e+00
78.937217	3726823.814404	5.366500e-07	2.000000e+00
79.962101	3707960.992250	5.393800e-07	2.000000e+00
80.987269	3685073.609345	5.427300e-07	2.000000e+00
82.012434	3664883.090229	5.457200e-07	2.000000e+00
83.038058	3638679.159465	5.496500e-07	2.000000e+00
84.062392	3610825.254112	5.538900e-07	2.000000e+00
85.087200	3583972.475091	5.580400e-07	2.000000e+00
86.111633	3565380.158659	5.609500e-07	2.000000e+00
87.135935	3552965.838233	5.629100e-07	2.000000e+00
88.160063	3535692.819008	5.656600e-07	2.000000e+00
89.184193	3514444.366346	5.690800e-07	2.000000e+00
90.208315	3493022.687182	5.725700e-07	2.000000e+00
91.232555	3474997.393752	5.755400e-07	2.000000e+00
92.256343	3442518.546569	5.809700e-07	2.000000e+00
93.279399	3430649.421936	5.829800e-07	2.000000e+00
94.303304	3401187.014268	5.880300e-07	2.000000e+00
95.327244	3382721.060821	5.912400e-07	2.000000e+00
96.352418	3365247.093268	5.943100e-07	2.000000e+00
97.376382	3345432.648077	5.978300e-07	2.000000e+00
98.400180	3325960.786922	6.013300e-07	2.000000e+00
99.423543	3313287.941289	6.036300e-07	2.000000e+00
100.447507	3290339.563043	6.078400e-07	2.000000e+00
101.471444	3271823.059809	6.112800e-07	2.000000e+00
102.495547	3260462.007466	6.134100e-07	2.000000e+00
103.519768	3239653.357091	6.173500e-07	2.000000e+00
104.544611	3220611.916264	6.210000e-07	2.000000e+00
105.568506	3200973.095821	6.248100e-07	2.000000e+00
